slide_id,level_0_width,level_0_height
TCGA-3B-A9HP-01A-01-TS1,131471,21464
TCGA-3B-A9HQ-01A-01-TS1,115535,28618
TCGA-3B-A9HR-01A-01-TS1,101591,27999
TCGA-3B-A9HS-01A-01-TS1,129479,38115
TCGA-3B-A9HT-01A-01-TS1,97607,43383
TCGA-3B-A9HU-01A-01-TS1,83663,25801
TCGA-3B-A9HV-01A-01-TS1,77687,52920
TCGA-3B-A9HX-01A-01-TS1,111552,50133
TCGA-3B-A9HY-01A-01-TS1,117528,43553
TCGA-3B-A9HZ-01A-01-TS1,105576,35488
TCGA-3B-A9I0-01A-01-TS1,99600,29044
TCGA-3B-A9I1-01A-01-TS1,75696,17418
TCGA-3B-A9I3-01A-01-TS1,87648,29501
TCGA-DX-A3U7-01A-01-TSA,86632,26726
TCGA-DX-A3U8-01A-01-TSA,108528,24507
TCGA-DX-A3U9-01A-01-TS1,87584,23268
TCGA-DX-A3UA-01A-01-TSA,81872,18847
TCGA-DX-A3UB-01A-01-TS1,104719,43221
TCGA-DX-A3UC-01A-01-TSA,80919,20724
TCGA-DX-A3UD-01A-01-TS1,130423,52454
TCGA-DX-A3UE-01A-01-TSA,93295,21571
TCGA-DX-A3UF-01A-01-TS1,64735,25601
TCGA-DX-A48J-01A-02-TSB,123760,15075
TCGA-DX-A48K-01A-01-TSA,92344,24895
TCGA-DX-A48L-01A-01-TSA,95200,21267
TCGA-DX-A48O-01A-01-TS1,78064,27577
TCGA-DX-A48P-01A-01-TSA,72351,18904
TCGA-DX-A48R-01A-01-TS1,87583,27129
TCGA-DX-A48U-01A-01-TS1,88535,31390
TCGA-DX-A48V-01A-01-TSA,99959,37476
TCGA-DX-A6B7-01A-01-TSA,99959,30760
TCGA-DX-A6B9-01A-01-TSA,130423,33286
TCGA-DX-A6BA-01A-01-TSA,67591,22497
TCGA-DX-A6BB-01A-01-TSA,90013,15185
TCGA-DX-A6Z2-01A-01-TSA,92344,24359
TCGA-DX-A7EL-01A-01-TSA,88536,30009
TCGA-DX-A7EM-01A-01-TS1,89488,31156
TCGA-DX-A7EN-01A-01-TSA,80920,20331
TCGA-DX-A8BZ-01A-01-TSA,113544,46919
TCGA-FX-A3NJ-01A-01-TSA,116143,25228
TCGA-FX-A3RE-01A-01-TS1,111383,33408
TCGA-FX-A48G-01A-01-TS1,96152,51859
TCGA-FX-A76Y-01A-01-TS1,105672,24848
TCGA-HB-A3L4-01A-01-TS1,87583,35155
TCGA-HB-A43Z-01A-01-TS1,79015,16624
TCGA-HB-A5W3-01A-01-TS1,69496,29561
TCGA-HS-A5N7-01A-02-TS2,86631,30565
TCGA-HS-A5N8-01A-01-TS1,82823,32687
TCGA-HS-A5N9-01A-01-TS1,66639,28391
TCGA-HS-A5NA-01A-01-TS1,113287,41438
TCGA-IE-A3OV-01A-01-TSA,75207,17107
TCGA-IE-A4EH-01A-01-TS1,109165,38025
TCGA-IE-A4EI-01A-01-TS1,90439,24676
TCGA-IE-A4EK-01A-01-TS1,102815,30602
TCGA-IF-A4AJ-01A-01-TS1,77112,33339
TCGA-IF-A4AK-01A-02-TS2,95200,27846
TCGA-IS-A3K6-01A-01-TSA,88535,45478
TCGA-IS-A3K7-01A-01-TSA,102815,35025
TCGA-IS-A3K8-01A-01-TSA,140896,41988
TCGA-IS-A3KA-01A-01-TSA,76159,35457
TCGA-IW-A3M4-01A-01-TSA,100911,26176
TCGA-IW-A3M5-01A-02-TSB,102815,21593
TCGA-IW-A3M6-01A-01-TSA,115191,24242
TCGA-JV-A5VE-01A-01-TS1,77112,21164
TCGA-JV-A5VF-01A-01-TS1,84728,25488
TCGA-JV-A75J-01A-01-TS1,80920,21648
TCGA-K1-A3PN-01A-01-TSA,71399,24144
TCGA-K1-A3PO-01A-01-TSA,116143,35219
TCGA-K1-A42W-01A-01-TS1,79016,34718
TCGA-K1-A42X-01A-01-TSA,103768,30845
TCGA-K1-A6RT-01A-03-TSC,81871,24657
TCGA-K1-A6RV-01A-01-TSA,106623,32578
TCGA-KD-A5QS-01A-01-TS1,74255,27097
TCGA-KD-A5QT-01A-01-TS1,85679,20079
TCGA-KF-A41W-01A-01-TSA,88536,21783
TCGA-MB-A5YA-01A-01-TSA,81872,24934
TCGA-MB-A8JL-01A-01-TSA,83664,24027
TCGA-MJ-A68H-01A-01-TS1,113287,24730
TCGA-MO-A47R-01A-01-TSA,96151,13878
TCGA-N1-A6IA-01A-01-TSA,76159,19567
TCGA-PC-A5DK-01A-01-TSA,113288,32673
TCGA-PC-A5DL-01A-01-TSA,117096,36674
TCGA-PC-A5DM-01A-01-TSA,96152,20409
TCGA-PC-A5DN-01A-01-TSA,116144,32707
TCGA-PC-A5DO-01A-01-TSA,81872,33571
TCGA-PC-A5DP-01A-01-TS1,105672,39605
TCGA-PT-A8TR-01A-01-TS1,103584,29535
TCGA-QQ-A5VB-01A-01-TS1,123503,43037
TCGA-QQ-A5VC-01A-03-TS3,69495,28070
TCGA-QQ-A5VD-01A-02-TSB,71399,30368
TCGA-QQ-A8VF-01A-01-TS1,101592,31621
TCGA-WK-A8XS-01A-01-TS1,101591,14364
TCGA-WK-A8XX-01A-01-TS1,79679,22952
TCGA-WK-A8XY-01A-01-TS1,107567,21809
TCGA-WK-A8XZ-01A-01-TS1,149399,32859
TCGA-WP-A9GB-01A-01-TS1,81672,34476
TCGA-X2-A95T-01A-01-TS1,79679,30564
TCGA-X6-A7WA-01A-01-TSA,75696,27225
TCGA-X6-A7WB-01A-01-TSA,101592,21654
TCGA-X6-A7WC-01A-01-TS1,101592,36929
TCGA-X6-A7WD-01A-02-TSB,97608,25182
TCGA-X6-A8C5-01A-01-TSA,141431,42221
TCGA-X9-A971-01A-01-TSA,105575,42422
